Date,State,Town,Longitude,Latitude,Sighting
09/10/17,PA,State College,-77.9,40.9,1
09/10/17,TX,Houston,-95.5,30,1
09/10/17,OH,Oxford,-84.7,39.5,1
09/10/17,MN,Austin,-93,43.7,3
09/10/17,ON,Kingston,-76.4,44.3,2
09/10/17,GUA,AcÃ¡mbaro,-100.7,20,1
09/10/17,WI,New London,-88.7,44.3,6
09/10/17,ME,Boothbay,-69.6,43.8,4
09/10/17,MN,Barnesville,-96.4,46.7,1
09/10/17,MI,Muskegon,-86.2,43.2,1
09/10/17,NY,Brooklyn,-74,40.7,1
09/10/17,ND,Mandan,-100.8,46.8,1
09/10/17,CO,Grand Junction,-108.6,39.1,2
09/10/17,MN,Andover,-93.3,45.2,1
09/10/17,QC,Richelieu,-73.3,45.5,1
09/10/17,OH,Hamilton,-84.6,39.4,1
09/10/17,OK,Duncan,-98,34.5,1
09/10/17,TX,Jefferson,-94.3,32.8,3
09/10/17,MA,Wellfleet,-70,41.9,1
09/10/17,WI,Sheboygan,-87.8,43.7,6
09/10/17,NM,Alamogordo,-106,32.9,4
09/10/17,PA,State College,-77.9,40.9,1
09/10/17,TX,Houston,-95.6,30,9
09/10/17,ON,Orillia,-79.4,44.6,1
09/10/17,NY,Webster,-77.5,43.2,7
09/10/17,ON,Peterborough,-78.3,44.3,1
09/10/17,SC,Inman,-82,35.1,1
09/10/17,QC,Beloeil,-73.2,45.6,2
09/10/17,QC,Morin-Heights,-74.2,45.9,1
09/10/17,ON,Toronto,-79.4,43.6,1
09/10/17,NY,Fabius,-76,42.8,2
09/10/17,MD,Chestertown,-76.2,39.2,30
09/10/17,WI,Montello,-89.3,43.9,1
09/10/17,TX,Montgomery,-95.8,30.4,4
09/10/17,NM,Albuquerque,-106.5,35.1,1
09/10/17,MN,Lakeville,-93.2,44.6,6
09/10/17,NY,Delmar,-73.8,42.6,1
09/10/17,CA,Mountain View,-122.1,37.4,1
09/10/17,OK,Lawton,-98.5,34.6,1
09/10/17,TN,Delano,-84.6,35.3,1
09/10/17,NE,Mondamin,-96.1,41.7,100
09/10/17,TX,Granbury,-97.8,32.5,2
09/10/17,OK,Warr Acres,-97.6,35.5,1
09/10/17,ON,Chatham-Kent,-81.8,42.5,12
09/09/17,MO,Salem,-91.5,37.6,1
09/09/17,TX,Spring,-95.5,30,1
09/09/17,MO,Ballwin,-90.5,38.6,1
09/09/17,ON,East York,-79.3,43.7,1
09/09/17,ON,East York,-79.3,43.7,1
09/09/17,ON,Lakeshore,-82.8,42.3,1
09/09/17,WI,Milwaukee,-88,43.1,1
09/09/17,IN,Newburgh,-87.4,37.9,1
09/09/17,ON,Embrun,-75.2,45.3,1
09/09/17,LA,Baton Rouge,-91.1,30.5,1
09/09/17,OH,Columbus,-83,40.1,2
09/09/17,IL,Urbana,-88.2,40.1,5
