Date,State,Town,Longitude,Latitude,Sighting
03/22/17,FL,Oldsmar,-82.7,28,1
03/22/17,FL,Jacksonville,-81.7,30.3,1
03/20/17,TX,Dublin,-98.4,32,1
03/19/17,FL,Tarpon Springs,-82.7,28.1,1
03/19/17,FL,Clearwater,-82.8,28,1
03/19/17,FL,Palm Coast,-81.2,29.6,1
03/19/17,FL,Palatka,-81.6,29.6,1
03/19/17,FL,The Villages,-82,28.9,1
03/18/17,TX,San Antonio,-98.6,29.7,1
03/16/17,OK,Grove,-94.8,36.6,1
03/15/17,TX,Houston,-95.6,29.7,1
03/15/17,TX,Cameron,-96.9,30.8,1
03/12/17,TX,Terrell,-96.3,32.8,1
03/12/17,FL,Boynton Beach,-80.1,26.5,1
03/11/17,LA,Baton Rouge,-91.1,30.5,1
03/10/17,AL,Ozark,-85.6,31.4,1
03/10/17,TX,Boerne,-98.7,29.7,1
03/10/17,TX,Boerne,-98.7,29.7,1
03/10/17,FL,Cantonment,-87.3,30.6,1
03/09/17,LA,Covington,-90.1,30.5,1
03/09/17,TX,Temple,-97.3,31,1
03/08/17,TX,Round Rock,-97.7,30.5,1
03/08/17,TX,Terrell,-96.3,32.8,1
03/08/17,FL,Cape Coral,-81.9,26.6,1
03/07/17,LA,Eunice,-92.5,30.5,1
03/01/17,TX,McAllen,-98.2,26.3,1
03/01/17,FL,Fort Pierce,-80.2,27.5,1
03/01/17,FL,New Smyrna Beach,-80.9,29,1
03/01/17,AL,Lillian,-87.4,30.4,1
03/01/17,LA,New Orleans,-90,30,1
02/28/17,FL,Hilliard,-81.9,30.7,1
02/25/17,TX,Plano,-96.7,33,1
02/23/17,GA,Saint Simons Island,-81.4,31.2,1
02/22/17,CA,Glendora,-117.9,34.1,1
02/22/17,TX,Santa Fe,-95.1,29.4,1
02/20/17,FL,Beverly Hills,-82.5,28.9,1
02/15/17,TX,Saginaw,-97.4,32.9,1
02/15/17,MS,Saucier,-89.1,30.6,1
02/13/17,GUA,SolÃ­s,-100.7,20,1
02/11/17,TX,Katy,-95.8,29.7,1
02/06/17,GA,Savannah,-81.1,32.1,1
02/01/17,FL,Boynton Beach,-80.1,26.5,1
01/24/17,TX,Saginaw,-97.4,32.9,1
01/01/17,AZ,Lake Havasu City,-114.3,34.7,1
